Order	Family	Genus	Species	Latin_name	Reef_associated
11622	Perciformes	Labridae	Halichoeres	solorensis	Halichoeres_solorensis	1
1164	Perciformes	Sparidae	Sparus	aurata	Sparus_aurata	1
11661	Scorpaeniformes	Synanceiidae	Minous	trachycephalus	Minous_trachycephalus	1
11663	Scorpaeniformes	Neosebastidae	Neosebastes	entaxis	Neosebastes_entaxis	0
11666	Perciformes	Apogonidae	Apogon	melanopus	Apogon_melanopus	1
11667	Perciformes	Apogonidae	Siphamia	roseigaster	Siphamia_roseigaster	1
11668	Perciformes	Chaetodontidae	Roa	modestus	Roa_modestus	1
11673	Perciformes	Labridae	Xyrichtys	jacksonensis	Xyrichtys_jacksonensis	1
11682	Tetraodontiformes	Monacanthidae	Pseudomonacanthus	elongatus	Pseudomonacanthus_elongatus	1
11692	Scorpaeniformes	Scorpaenidae	Scorpaenodes	smithi	Scorpaenodes_smithi	1
11728	Anguilliformes	Ophichthidae	Lamnostoma	orientalis	Lamnostoma_orientalis	1
11793	Perciformes	Pomacentridae	Abudefduf	concolor	Abudefduf_concolor	1
1220	Perciformes	Sparidae	Calamus	arctifrons	Calamus_arctifrons	1
1221	Perciformes	Sparidae	Calamus	bajonado	Calamus_bajonado	1
1222	Perciformes	Sparidae	Calamus	calamus	Calamus_calamus	1
12227	Perciformes	Kyphosidae	Atypichthys	latus	Atypichthys_latus	1
12229	Perciformes	Kyphosidae	Girella	simplicidens	Girella_simplicidens	1
12230	Perciformes	Kyphosidae	Kyphosus	elegans	Kyphosus_elegans	1
12234	Perciformes	Kyphosidae	Neatypus	obliquus	Neatypus_obliquus	1
12235	Perciformes	Kyphosidae	Scorpis	violacea	Scorpis_violacea	1
1224	Perciformes	Sparidae	Calamus	cervigoni	Calamus_cervigoni	1
1225	Perciformes	Sparidae	Calamus	leucosteus	Calamus_leucosteus	1
6665	Perciformes	Chaetodontidae	Chaetodon	argentatus	Chaetodon_argentatus	1
1226	Perciformes	Sparidae	Calamus	nodosus	Calamus_nodosus	1
12263	Perciformes	Chaetodontidae	Prognathodes	dichrous	Prognathodes_dichrous	1
1227	Perciformes	Sparidae	Calamus	penna	Calamus_penna	1
6516	Perciformes	Chaetodontidae	Chaetodon	assarius	Chaetodon_assarius	1
1228	Perciformes	Sparidae	Calamus	pennatula	Calamus_pennatula	1
12596	Beryciformes	Holocentridae	Myripristis	chryseres	Myripristis_chryseres	1
12598	Perciformes	Serranidae	Luzonichthys	earlei	Luzonichthys_earlei	1
